key,source,target
/90B061AF4AF1102FEEE3F59235789840,"
After four days travelling by coach, I’ve finally arrived in Kilima Village; a cozy little hamlet near the coast where the Inn has good drinks and friendly company. Though, the place is clearly a backwater seeing as no one here has ever heard of me. The locals, however, make an apple cobbler that is like nothing you’ve ever tasted. It is, no doubt, how the Innkeeper became the stout man he is today! Before I head out for research, I’ve purchased every cobbler that I can find in the village, stuffed myself near to bursting with its sticky, syrupy deliciousness, and packed as many as I can fit into my travel pack. This caused a brief kerfuffle with the local mayor who initially complained about my cobbler-pocalypse, mumbling something about needing them for an upcoming festival. Clearly, the portly fellow wanted all the pies for himself. When I told him I was here on business from the Institute however, his demeanor quickly changed and he became my escort for the day. This was the treatment I should have received upon my arrival, but better late than never I suppose. Though the place is... quaint, my brief time here in Kilima Village has been rather enjoyable overall.
",
/AB7B1AAD47E955E342A506BFC93246FA,"
I regret to inform you that the Flothinger is still out there. The trap you helped me set only managed to capture Auni, the pun-farmer's son. The logical conclusion is that he is a cryptid who is yet to be identified... Perhaps Flothingers can shapeshift into Majiri! 

Delaila is furious, despite my assurance that I have years of experience with cryptids and had taken the utmost care in making the trap non-lethal. If you see her, please offer my sincerest apologies and ask if she'd like to have Auni examined. 

I'll continue monitoring the valley. With so many mysteries afoot, perhaps we need a place to store our findings...

Keep your mind metaphysical,
- Elouisa",
/D8C447DC43BE9415FFCFA2846360A5D4,"
Strange things are afoot with the snails of Kilima! Naturally that means there's a Tuffwoggle about…perhaps even a whole gaggle of them. 

Keep this on you at all times to ward them away.

And remember: question everything!
- Elouisa",
/9BADF6A6491D1167E9E5BEA267B16AFC,"
That ring, it sparkles like the night skies,
Its light in which I yearn to partake.
Shiny baubles light up my eyes.

But wait, there’s more! A delightful surprise!
A wooonderful deal I’d like to make;
Do be fooled by my disguise.

What other trades might I devise?
All your treasures I’d love to take!
Shiny baubles light up my eyes.
Do be fooled by my disguise.
",
/103D76B340CEDA724E3FC8A5B51CEA40, A Complete Handbook for the Use of the Majiri in Polite Society,
/6617AEAE44BDE127FDCFC6B748FC8C9A, A Step by Step Guide,
/A63B9E9E46F28593A056889417A7179F," Another day, another thing outside your house to stub your toe on. You should ask around and see if Jina can identify this one.",
/80B3930341A74F25CF7E6FB4F932E2C5," Delaila's Sweet Treats",
/B73DBF4D4FAE7052F1CB2CA5291CFE17," Delaila's Sweet Treats",
/CEB4A8C44C3DEB14111EAF99D8FE325D," Delaila's Sweet Treats",
/268593254A4198ED85B2FB9CF8630069," I meant to give you this earlier after I read you the poem, but when you said it was cheesy, I totally freaked out and froze up. Anyway,  I really, really like you. And it's hard to keep seeing you as just a friend. I made you this pin from some human things I found in the ruins that reminded me of you. I hope you'll consider wearing it...to show what we mean to each other.",
/87BCB4EE431C818CCB76C4913B42A8DE, Palia is a world of abundance. You can sell extra items via the shipping bin.,
/94AEDFF74FA0351621605694124C7DA6, Uses of the Silverwing ,
/57B18A7E4EC06A52152754A962BC2343, Vol. 2: Eggs,
