key,source,target
/E57B69F34F4C258086C8308DA222B072," 'Scuse me... if I seem... short of breath.",
/27F77686472C76BB9419288AA5C35C30," Although, that might be pretty hilarious...{anim:D_Happy}Do let me know if you reconsider.",
/CD3C65C24DD636C7CFA3F4AEDDA84A8A, And it seemed like she knew most of them.,
/3AA51947495F3F11BC8D208596D88EF3, But I suppose the ability to create and care for young does not extend to honorary family... ,
/1868B4354B7FE470412BE8A897182C3B," But every time they chopped off a head, another one would emerge in its place.",
/639B9DC04977134419CDE7BA450EA337, Do you know what the Oneness is?,
/2E867EF545A9164512CE90981D85EDB2, For... me?,
/D727570544128B3D8E0262A769E62414, For... me?,
/77D836DE40302C7CA2BAD5807BF33211, Good thinking my paranormal pal!,
/843DB6C74B83ECD147854A99AC2EDD27, I believe seeing these items may satisfy my Oneness. I also thought an accomplished fisherperson such as yourself may have use of this worm. ,
/044F3FE849698A32A641C88C59E8C707, I brought something to inspire you.,
/5DEC65244157C2DBEF63B48DDB2EB018, I caught every fish!,
/FBDD7CAB4751C9E5C53064ABB227B773," I don't know if I coulda gotten through Nai'o's labor without him. That baby's head was bigger than a ripe summer melon!",
/B28002034A0C96558D133BAA9601EC7F," I guess I'll just have to wait until Hekla opens up to me on her own.",
/FECB9715442E3315E12E6B9F76BB8695," I just thought, as a Human, you might be able to find some insight in it I didn't.",
/35B78EE64F1A92FAB2756AB3AADBE994, I just wanted to know it was good before I sent it out.,
/B3B79F024EA0B094DA629F970A6B5D6A, I love to learn.,
/323887704CE2F4CF03F940B330D3293E, I suppose my time in the village has made me soft.,
/2C96983C4009B9C2BD3DA7B7D60A58D0, I used to be known in all twelve provinces! ,
/9D449FB143543F2B526D21BFCC02695A, I used to be known in all twelve provinces! ,
/D6804B6F4F289DD58B8698B1865850D6," I was gonna ask you if you wanted to light a candle with me, but you probably don't.",
/7B7ECCEF460E578837652A8372892106, I was wondering if I could store them here for safe keeping. I brought flowers to sweeten the deal...,
/CAA441754C49F841C312FDAA23E86EFD, I was wondering if you could talk to him for me?,
/2050C5DF42C4014165C88D814F6819A0," I'll have to tell you the rest another time.",
/D335A7A14B33F32248CA7BA55A0A0E7D," I'll talk to Nai'o instead.",
/7FFC067849B2EAC5F9A3EEAFA77B74C9," I'm ready to take your pebble now.",
/B5BE9C4F470D776811ECC0ADE39048E5," I've been bullied too. People say I'm tough to get along with.",
/257A69ED4A75169F0832ED89F50D3C6C, Is this the key?,
/4C58989B419F298C5AE5C6BBEB4A9852," Isn't archaeology your Oneness?",
/E3ADE2034F9692BC130E4AB6E504158A, It will only hurt twice as bad if he fails knowing no one believed in him.,
/F3533CAC469EF89DB25A9A8C398E816E," It's complicated.",
/29692E334F4A035A8A9CC99FC83E4AC2," Remember though, certain bugs will only come out at certain times!",
/B07AE0F14584C19D83514E872808A4A1, She was over the mooon for my performance.,
/88E4CF584C8901D0C8F6BAA49E63E46F, The collection of paintings in your home has inspired me to donate this bolt of cloth to you. ,
/899AE9384B40D39D95BBAAB50E617E4C," They're charming!",
/07C3BA0E4A4C1544BB333A93E46A0A5B," Though I have to admit, I always milked those ormuu performances a little...",
/50F21BF142A75023C3540EBB5FE80466," We'd be legally bound. Like family. Almost like we were married ...but if that's the kind of relationship you want then{anim:D_Yes} yeah, I'd be honored.",
/0880D3C648B584F843B08B89CFB20A54," We'd be legally bound. Like family. I'd be like a big sister or, uh, a spouse ...but if that's the kind of relationship you want then{anim:D_Yes} yeah, I'd be honored.",
/ABCF7F3F4CDCE051D086F7A898FC705A, What kind of question is that?,
/443726C54C70345672B9C1B3EBC5F05F, You had something you wanted me to read?,
/1B77904046142DB1871E4FB0DA09E052," {anim:D_Blush,Outro}Maybe if I'm not the only one, it means they're not so weird? {anim:D_DontKnow}",
/D00A6A65400AE914DD4080BB14C6AA08," {anim:D_Confused}If we can figure out how the Humans were able to get that much raw power, we'd be able to start putting some pieces together.",
/04F2D00C4C45C489C090FCBC8E03F130," {anim:D_HappySmall}This pebble's color is reminiscent of Phoenix Tail falls during evening. A very aesthetically pleasing pebble.",
/CE054153463BD59A740219907DCCDE22," {anim:D_No}Don't make me regret it.",
/A1EA71EC4E18DA83717D90BFE250E8A8, {anim:D_No}I do not yet know what to make of it.,
/D241E2AB4EE9EE7B506F688B18D904C0," {anim:D_Punctuation,Outro}The wellsprings just don't create enough Flow for that.",
/EBF461474456C2A3A13C3186DC75C28B," {anim:D_Punctuation}Even if we Majiri knew all the runes the Humans used, we wouldn't be able to harness that kind of magic.",
/D44F93424E6BE4C3EB49BC83DE0EC3F5," {anim:D_Shocked,Outro}I have never had a family as I had always thought the ability to reproduce to be a prerequisite to such things.",
/345FEE334A7B49EA961B5FA97187B5F9, {anim:D_Skeptical}I do wonder what a pebble uses energy for....,
/C87D4FC64E75A160A522B2A247EDC556," {anim:D_Thinking}I've always suspected the demise of the early Humans had something to do with the amount of Flow they needed to power their cities. ",
/F50AE1D14ECF6DDF58417684F39739D9," {anim:D_Wink}Coming to claim my soup master title, huh?",
/79B42AB146B1E67B7F56FE9B2892F2A4," {anim:D_Worried}Assuming, of course, I didn't misunderstand your intentions. ",
/C2990D854B9502C39BF7B49E4654917E, {anim:D_Yes}And I reciprocate the affection.,
/940915B64F72833D02CFCB841B0F8044," {anim:D_Yes}If you travel east to Bahari Bay, you'll find a memorial site. I could tell you what to think, but I'd rather hear your conclusions after visiting.",
/1F620D944925CA2FB68E878242D3F51E,"! Hardly! Excuse me, but I going to lock myself in my studio for several days now. ",
/04506E79453EDD03F50FB3982BECFDCC,"""All I want to know is, will you be with me?""",
/3496187F4B1587C057BCBF9EA63CC929,"""All I want to know is, will you be with me?""",
/7D03DD9840870B8589A2E4B1239CC5F6,"""All I want to know is, will you be with me?""",
/99F4EE06464C26CDCBD6A2B53AD612F8,"""Becoming""?",
/09D8468E467D3FE97632F9B9688F9AC7,"""But now that moment has passed, and I find us in a chrysalis."" ",
/C4B2031C4588CF9828211A891E41BB88,"""Dear Hodari, hope you're doing well out there in the wilderness! How's little Najuma doing? Bless your heart, looking after her all on your own.""",
/FBFBC6984E5FF4C0233FA39ED8AFBC37,"""Dear Hodari, hope you're doing well out there in the wilderness! How's little Najuma doing? Bless your heart, looking after her all on your own.""",
/9456828A4B650F141F3BED825BFF38B7,"""Help"" is one of my many middle names.",
/56A7DCFB41738995697699A77F2D88E6,"""I can be kept close to the vest or worn on a sleeve. I am part of Tish, but still belong to you, What am I?"" ",
/802BF1CA4F0AC9FECE2EFC8BB2D534D0,"""I can be kept close to the vest or worn on a sleeve. I am part of Tish, but still belong to you, What am I?"" ",
/A8BE501B4BC3E8E1077B5792002DF4F9,"""I do not know what is to come. But I find myself hoping for the butterfly.""",
/1CC504D34F81E7C5637A16AE29653049,"""I love the boys you've given me even more than I love my lute.""",
/3D5399F44A64B2D687304E9BFD9D7F0D,"""I'm the knight who'll fight...for you babe! All through the night, you can count on me, babe!""",
/DF11576B4E25878F80BB148C566A26BA,"""I've got a girl who makes me smile. She makes me want to stay for awhile. Her hair is long and her horns are big...",
/C6401C8F4B217732E7265D83076E6E59,"""It's been long enough, and ma misses you something fierce. You know you're always welcome. Love from your worried sister, Shani.""",
