key,source,target
/249339474FDE16C4A351209DC1BADD8D,"""Ancient Burial Ground""",
/1479983D4571E212B56D89947214EC6B,"""Bring the Inn's cozy and intimatedining experience home with a dozen of these 100% beeswax candles.""",
/8D985D1E455EE21A0572CA9D980ABD86,"""One Summer Solstice""",
/728C543F44BB10E9E583578181ED84B7,100 Chapaa Chase Tickets,
/2ADEFB3E4D895D6660099591788B4556,200 Chapaa Chase Tickets,
/D3B05FBB4FDACF09D2C3E1BFFF78C621,300 Chapaa Chase Tickets,
/2C493A324E1EFC7901311AA6FC79ABDE,"A ""rave wand"" that looks suspiciously like a laser pointer. Given to you by Zeki.",
/A022AB784DC2DDDC1B12D6A67FE42720,"A Dragonfly with wings as bright and colorful as any precious stone.
Found near a cave entrance on a cliff in Bahari Bay.",
/FCE8F1D64BAA53776EBE5A879F96B377,"A Dragonfly with wings as bright and colorful as any precious stone.
Found near a cave entrance on a cliff in Bahari Bay.
A specimen so fine it's fit for display!",
/FAE714974D8D6FA25FDC51AC4384842A,A Grimalkin device that allows the possessor of one stone to listen in on the location of another.,
/2D848DC74544B8B14F8B36B3C180E4DC,A Hoosit... or maybe a Whatsit. Elouisa made it for you.,
/BB2FC46A468ABC178130C8B725C3C724,A Laser Pointer,
/0463EFF34999C603F2A4208C92156392,A Little Jaded Tile Wall,
/675DD1FB42C0973D0AF255925D659F8D,A Mysterious Key,
/DAD07E254B3F72CBB7C1AE948C628C96,A Phoenix statue with a drop in slot.,
/F1FB922642EE097321715094DD9E2B9B,A Phoenix statue with a drop in slot.,
/309E6BFB4776B246037861B9467C59D3,A Sandwich for You,
/11D745FA467A8D92CA7D9ABB0E975CFD,A Small Wish...,
/BBDB5BBC46A952699C8E17AB03D6E6CD,A Very Old ...Grocery List?,
/2A4A256945459A0670F31FAAF1A4DE1C,A air from a tall tower.,
/589745F6443388E1B8A80BB98AA53860,A baby doll made from a potato.,
/CC9277DF4C35C7C1F4B1B9B2F7138C31,A backless wooden bench that can also double as a low table. Works well in any room!,
/46F002964D6EE23F78C237B731CCA45A,A bad carpenter blames their tools. A good carpenter gets this plaque.,
/304983934301999466B9B591F8E86BE2,A baggy of suspicious powder you found in Bahari Bay.,
/847D85F74ECA53B1AD4006BD0624F6E2,"A banner that commemerates the Maji Market. So transcendently beautiful, your friends will think you hung the moons!",
/BC7A70CD48AB08D4A3E4B6A67FD3E961,A basic fish stock seasoned with garlic and spices. Buffs fishing reticle speed for a short time.,
/2AA1DC914278A191A3CF7794A51A2915,A basic kit used to tend to minor wounds.,
/6BCB23034274C9418D4BBFBFCEE96E70,A beautiful art book from Caleri.,
/5C141A894763129DC1ADB0A14E548C13,"A beautiful butterfly with wings the color of dusk. Unique to the Kilima Valley.
Found around the Dragon Shrine in Kilima during the morning and day.",
/E78F345E4B3996E99F6869A0FBFFF5DE,"A beautiful butterfly with wings the color of dusk. Unique to the Kilima Valley.
Found around the Dragon Shrine in Kilima during the morning and day.
A specimen so fine it's fit for display!",
/F84F81EB4C71DEF1FBA58B80B55F5734,"A beautifully radiant river fish that emits a blinding ray of light many compare to looking directly into the sun.
Found in Kilima Rivers using worms.",
/84580FA14A2813A9BD6C59BD38E62E74,"A beautifully radiant river fish that emits a blinding ray of light many compare to looking directly into the sun. 
Found in Kilima Rivers using worms.
A specimen so fine it's fit for display!",
/16C6094E41ACDCEB605BCA9FEFE27919,"A beetle whose entire diet consists of raspberries.
Found around Badruu's Farm in Kilima.",
/5EA767DF4A2A37BA1C9FCDB2CBAA667A,"A beetle whose entire diet consists of raspberries.
Found around Badruu's Farm in Kilima.
A specimen so fine it's fit for display!",
/4E292C2C4AD3BC9B3715B79C6A40817D,A bin used to sell items.,
/DE23F95A41603890276D5BA565C49236,A bit of scrap wood that can be recycled.,
/DA837B354D46F0A58A8F0C876B67FAB7,"A black and red ladybug, popular for controlling garden pests.
Has a chance to be found when foraging in the fields of Bahari Bay.",
/1CC91C244C8A0EABF7F98A8D0B8D7049,"A black and red ladybug, popular for controlling garden pests.
Has a chance to be found when foraging in the fields of Bahari Bay.
A specimen so fine it's fit for display!",
/259AE6364CB62BB457C83EBD4622E3BC,"A bloated, slimy fish that lives at the bottom of cavern pools.
Found in Bahari Bay caves using glow worms.",
/BAFDB2C64AF13AE2250C73853AD986A6,"A bloated, slimy fish that lives at the bottom of cavern pools. 
Found in Bahari Bay caves using glow worms.
A specimen so fine it's fit for display!",
