key,source,target
/2402972344A0248B018D2E8A521F5429,A Big Harvest,
/AFAFF25B46534C447E2E3CAC84E452E7,A Bigger Harvest,
/8E1D76F04EC32F2594D95891E37FE3DC,A Bouquet of Sunshine,
/F6D4BBE6433ED9C15E6C4EB2EC197247,A Family Matter,
/89D7C59D42EA947D0F848297903AE0A8,A Family Squabble,
/546D9FD540DCA36A2E9021848850B7A5,A Little Cough,
/3DE7D7E04386A2D37E27E49C193EDF6E,A Look to Dye For,
/3604E3CB45513E05EBE9AA95710BCACC,A Perfect Pearl,
/9FA2F6F340B1CE6FF066F68A1AE3527A,A Scheme Involving Pyramids,
/E9B0C62143B41EB441AF65B82A966008,A Special Play Date,
/A4322F4A4A65740FA3663CA5AA28F37D,A Stitch in Time,
/58B5DB1F4459704B975A989CEF775006,A Timely Reflection,
/60C3E7644EB0D856542871A1F0F1B3E2,A Very Sincere Apology,
/1715E41B416C7D2FE3971FA292A1003A,Acquire a Glow Worm. (Requires Lvl 4 Fishing.),
/49CBCF884CD820FED023D086D18EB378,Across the Divide,
/A8F803214313241EAA2BFC9C6FAC7A2F,"Airtight Plan, Part 1",
/7E3473B94BF3237C1F69BE826AA226AE,"Airtight Plan, Part 2",
/4952D68441246BADAB650F842EC1252A,An Adventurous Memoir,
/D215074B4F8F0036DBE7299F4238F92F,"An Adventurous Memoir, Part 2",
/D33F15FD43C90DDA933C6EAE59980A81,An Existential Conundrum,
/6AA6751F49F18E4DB148A29E254C308C,Ask Auni.,
/78E5B6D2487F1BA5572C60909F109D52,Ask Elouisa for help with the seance.,
/9A370FFB4D8CC49CA8449C8ADD654E92,Ask Eshe about her experience with the cream.,
/BAC2B78647B0F52BB614EDADF035925E,Ask Eshe to escort you to the ceremony during the hours of 6pm-12am.,
/B187E39B4FD9D65D64B236B56398C825,"Ask Hassian if he'll be home for dinner.",
/E3D595DB49EA78BB2F9665B01A26894C,"Ask Hassian if he's coming home for dinner.",
/5803C6E24A1B967238FDD5A1CFA094AB,"Ask Jel how Reth's apron is coming along.",
/F6C4D47D4950046BFCAF0089F94F5365,Ask Jel.,
/53B3E68F417968F87B6D70A6EC8E7798,Ask Jina about the strange artifact you found.,
/6009F420486D2AB2A638B1B8537C0C83,Ask Jina.,
/37FE16FF43AF453922130FB269A4E18F,Ask Kenyatta.,
/73CEA5A543DC3E33C918049828AA223C,Ask Tamala for help with the seance.,
/DB8D76944165832BE373619C4D1C58AA,Ask Tish about her experience with the cream.,
/F663260148143F38C834EAB651D5BCA3,Ask Tish.,
/70E438784BDFC4FA6A110281E12D2087,Ask Zeki about his experience with the cream.,
/6E81D87E40DC6AD5FEF973A4579C5079,Ask around about the artifact you found to see if anyone knows what it does.,
/722C88F44E5FB18A68D003BC4A805DED,Ask around to find out what the item does.,
/6A79BCCF4854FB397D1DFA95BD512B2F,Ask around to see if anyone in the village has heard of the Oneness,
/B03EFC4C4A6BDD3CFAF824B461C778E8,"Ask around to see if anyone's heard of a disappearing statue.",
/73C5A284419B1619D3715688C8B6D756,Ask around town to find out if anyone can help Najuma.,
/29A721F642A9056404662093E2BE6A74,"Auni accidentally ruined Badruu's confidence charm, and has begged you for help with getting a replacement.",
/ECE50FFE4CD609E8CB8253BAEA33AEDD,Backbone of the Community,
