key,source,target
/ED6AF6A248B886A15BCAD1B7DE7DDCFA,"
Editors can additionally gather resources and move placed decor",
/15501FFD454B1E5D14934CA0486CAB69,"
Friendship Level: {Friendship Value}",
/40552C034BC364FFA2DEA2A5FE35431D,"
Friendship Level: {Friendship Value}",
/0DBBBB7B47F09DE9BC0D2FBB0D5D6012,"
Higher permissions allow your friends to collaborate with you in building your home.",
/3F84749F481508DA2019FCA6FFD21FD4,"
Romance Level: {Romance Value}",
/760E647B49B3D42A344BD7AF194E0A4B,"
Romance Level: {Romance Value}",
/2B6BA05144CDB178731428994A4C47CD,"
Visitors can fish, garden, cook and access their inventory",
/062E8BA14168701D1B5E6C9D0B4FDEE9, Cancel,
/2733867D4351B26C698AFE8615C6F54C, Set,
/322DE2A34F440958CFF4D5B8741C7760, UseItem,
/E25CACF24585983EE8C517860E843D31, and bound to ,
/F256DB2D471288DADA382399E782FA21, is a core action and cannot be unbound.,
/206DF92D40F8522488CF3DBEF4FCB2CD, is core action,
/50055B7D4EDE6B41AD5A81A628C685EB, x1,
/8FF7CFF148CB469267DF50A51FCE87F7, {current}/{total} ,
/5CA2E2D5432E1F91E39893B4E81CBE93,"""",
/B0E0B31C43502F093E6A7B9F4481A516,##,
/2EFC240B438BD359FCD0A0B7A63A6BBF,$XX.XX,
/5A7AE27D40FB50110CCF8180417C17EB,$XX.XX,
/31CD0883442F055E8E1AB68EA18E5F65,(16:10),
/922A036340623E46543615889B2A177A,(16:10),
/71A27B554B419DBA05709BA067809A92,(16:9),
/4CECA2474BA5DE2481DDA9B1436B7A00,(17:9),
/51619D86488C691D264255835DB5B669,(17:9),
/3252170741B27B3A2F253C83320584CD,(21:9),
/642D95494F9DF5DB386532A931C83831,(21:9),
/B35E1076493E2EE28EE11F9F848C6E77,(21:9),
/DF13D0A141ADDDFCF903B0A1E19097DA,(32:10),
/795EFFD14203CA2F9C490C952F70DC79,(32:9),
/C6B7381B4CD8F28F32226D938739BB92,(36:10),
/0524B49448125934590B8395777E5C2C,(4:3),
/6EF515924D8F8707B6359C94DFE552D4,(5:3),
/48F5B23749AFAE54F3241292139277CE,(5:4),
/6784514F473FF78132F5D1AC893AB360,(Hold) Sell Stack,
/CB08AC07417EBDE617BC2A88312696F1,(Num),
/F434498F41F2B2536CA8D493E0544B14,(Num),
/E12F83FC4D8D4DBD3D483982B50C0814,({0}),
/F307A2C94224DD727FE850B5A60ADB99,({Amount}),
/14C40B93462C609137DBCC8AD3D92A88,({Number}),
/4BAD82F44C0EC29CF8A059B9D1E4D362,({Number}),
/4712F6D948F64A1A6D6FAC9B2C65B338,({Num}),
/5E13119F426851B676BC82BE2C5A99D4,({Num}),
/8B9DFB214E96B52143FAFE8968BAED0F,({Num}),
/84EDC48A4B89956AB32DF4BDD2CF695B,({TimestampText}),
/E38D65904EAB3D4A763A3C92138513DB,({TimestampText}),
/3D723D064424342C1CF16BAE7E1667DA,+ 15 Community EXP,
/5A99E9AD42E35C6AF5A4A7A47B4879C4,+ 15 Community EXP,
/E5664EDD4FA930EA5E6F96A2DAFA311A,+ 15 Guild Exp,
/AE873E7049F247428C59CCA1EBA0C50A,+ X,
/E4EE809149B526B6167DE8A992F66CEC,+ X,
/5A480BF047FDF6B46901139B4C8CC964,+ {exp} Community EXP,
/6A0CE2D34186475DCA80FCA99653C0BA,+ {exp} Community EXP,
/18D083EF441472EBDCCDF887BE918F00,+ {exp} Guild Exp,
/2FCFBA7B41381BDA943ADEB5FCAD1495,+33,
/79948C7C4E7B1A77920288AC7ACD419F,+33,
/BF373462492EB0B55A87F782C4C8DCEC,+XXX Focus Points,
/19DFC413408F431DDFCE6598F04CDF1E,+{Amount},
/4390580845B7E910F0DE219E3F970283,+{Amount},
/9F154BE84E7BCB7D620943AD4CAFA55E,+{FocusPoints} Focus Points,
/12F2D0DE4EF3A11D6E17E181A57AC3F7,+{Num} {CurrencyName},
/496A6EC5478D0A87777DD59A71B09B8F,+{Num} {CurrencyName},
/D9ABA9E34C2DF4C59860A5945C446B19,+{Num} {ItemName,
/052311BA43FD3596CAA4179487AD6172,+{Num} {ItemName},
/7C803CE7487351B50544E191BEFD6226,+{Score},
/CC519495402A19400CF427A27454977E,+{Score},
/3F2D2E6B484D1464C72538ACDCE73442,-{Num} {CurrencyName},
/0AC57B884C927A7C26EAA5A0385E3109,...,
/4E2481D3440B00EBE08FC3A860277B7D,...,
/6C983D684F14A7EB68F6B09708C6E851,...,
/77B0677046B1434C8C1E809C6E5C77B1,...,
/8FC3377E4360FB4893ABE780C9417981,...,
/AE1C962C4961E3F2490B809B8D7329C4,...,
/EEB171D04CEA63BCB3B5E58693C50232,...,
/12EEBE3148B301CBBD46B6AB7790C6F3,/,
/B96634F442907B59E322718704C352EA,/,
/0EF636C74BCABC9D147D7F8C45361314,/block (Character Name),
/22A4CB0A4322ECC906A139B847BE06E4,"/block CharacterName (use quotes """" on the CharacterName if the name has spaces)",
/0FBF72C9431DA35B6856909AEBD72637,/bundle,
/750652344748E830280F2FB3A0EADDF6,/bundle,
/6ACD0BFC43146638D37EDA850CD69797,/each,
/AD6D6B1D40065802855ACF9BA24169D2,/each,
/31F83DA24831E4F7B94ACC96A70B7689,/feedback (Enter feedback here),
/7B70AB26435AECB2F854AA933C84DD0F,/feedback (Submit feedback about Palia),
/E245F7D7436EB2AE632DEDB805C43386,/kudos (Character Name),
/030455CF41FA0EE3048E34A8922A8FE6,"/kudos CharacterName (use quotes """" on the CharacterName if the name has spaces)",
/BDF7A3A44455E1F4FEFBAD9AD333DFD3,/mute (Character Name),
/3E0128A94B2F8A84C277719CF23FF500,"/mute CharacterName (use quotes """" on the CharacterName if the name has spaces)",
/16CDF803444A681C7CF1008BA2CC72B4,/r (Reply to last Direct Message),
/753DDAB6469D5E37A23D96BEE99205B7,/r (Reply to last Direct Message),
/7BAEBA5343A7EC01F19582933F3CF5BE,/report (Character Name),
/4FDA87F44236D346B090EFBB84F80A6C,"/report CharacterName (use quotes """" on the CharacterName if the name has spaces)",
/71F7AA5C4636275F48C7199677FF6C5D,/unblock (Character Name),
/3315846E4F1E06918C9697A51D357094,"/unblock CharacterName (use quotes """" on the CharacterName if the name has spaces)",
/1BC2C7304E19C28DC215FC9DE87661FA,/unmute (Character Name),
/23B2EAD044818BF4F699EFA0945D1C0A,"/unmute CharacterName (use quotes """" on the CharacterName if the name has spaces)",
/A347ECE1412E3AE4F8EE2380C86463D5,/unstuck (Extract from current position),
/B1CFEED94EF2E82B13F679A6D3162AFB,/unstuck (Extract from current position),
/3E4370C346F450AEFA74CEB8D58E6E0D,/w (Direct Message),
/E78F153244C528856B6FDB831B81459B,"/w CharacterName Message (use quotes """" on the CharacterName if the name has spaces)",
/294912FA4F6889D0B873EDB3BD7FFD59,0,
/6D23B8FB471A2B29B55308AFE3287A17,0,
/99444F9B4F86366BF0B6519D05B0100C,0,
/B11D89344D5C7E96EBEC10AF28FAE52C,0,
/B99F455F4AD3F83250F48E98187A8F44,0,
/014B11FA4427171317BD238AA61CF822,0/0,
/E90F17A04EDF6D97F95A6FB72F3209E5,0/0,
/EA49BB334644761A5ADD379EEC415434,0/0,
/3DF5C7AD43F284800FEBF7ADE63B14D7,0/140,
/AC0292CF45321741BF930BAF8CA1BF40,0/140,
/9F560C87416F14D562DF848A44215113,0/2,
/79F5FB1A46B9624E4A8F7CB4F9F96182,0/300,
/ABE03233452F29B26B9B07B81E618F2F,0/300,
/30D8FB8C48731D8B0293DCA7B4B3DB3A,0/4,
/D2497F914B4BF524159ABFBE49E8892F,00:00,
/448BFD0149166197D7B9D5ABDA4695AA,0:00:00,
/0657A8054BE597E0AA616480E34FBA46,1,
/06E75B324C630E4E760A30B20EB3DD2F,1,
/5D5A27334EFF177F1DCEC9B2C754AD89,1,
/85797A9342C95BF007AA0FBE099E1BF9,1,
/8C82794B4AE7D23562657C9A8FD92363,1,
/9C3FA6A647CF4A2E15003E81E0FFCE92,1,
/A0359DF74676E3AEA9BB9A90339040FC,1,
/B31E642545AE9AA8977B1C9A3CA5F8E2,1,
/B3E677AD4965F74B3E6F12BFABF3A8A1,1,
/C57E159645FC80F7B58CFFB65E98B7E7,1,
/D00B49EB4A285BB2061C4880F0A26513,1,
/F8839801493077FDEB4F4DB5093EDC74,1,
/54EB6D75465F143EC5F734A02B466292,1 Pet with your first eligible Palia Coins purchase,
/C16AE9814D160290555A989933E19450,1 Potato,
/4F15556644593F819754639CD7207A67,1. Acquire a Rod,
/089068D843B84E6DF6D1F4AE9B424499,1. Choose a Recipe,
/9CAD743C42AF04511F89329BD691C6E4,1. Chop,
/6E488BB64BD8E601469559A5544932E9,1. Draw and Aim,
/55D218BD4037A62B5D60ABA861848BEA,1. Home is Heart,
/DC26EE264DB3A969748168B7E77BD5CA,1. Mine Stone,
/1E6C85C24B95753829BBA39DACD10F3D,1. Work your Plot,
/1F0E12F4408A649B663DD9A4B2F48DB8,1. You need a Trap,
/21ECDF9E409EE9A265675584693927A8,10,
/32AE6306417A729011D336AC9E9123CE,10,
/4E123B4F4192A3FE8924D8A0539D47EC,10,
/8AE493BB430A1EFB266016BCB4339654,10,
/9CC60CB942E25F7C2F4B7D9FAE4B081E,10,
/E038CB064356AA8BF015808F6061CA2D,10 min,
/01A455174C53340C71E718ACB945C0DE,100,
/090801B842B3675578B2809F028910AA,100,
/8461BD0249763B3156AFE3B1F2DA88B0,100,
/98A85807457E9887173888A524F2471E,100,
/D73966B6474FE1A49B38A8AB3D0D275E,100,
/440CB9034F1E95349512E49021C3AA17,100 / 300,
/57AC04904352CB9CEC9D67BFA2613355,100 / 300,
/151CC11C4B32A332C89832AA60E57F8F,100%,
/C3EF1E2449A86846634747A78BA07C50,100/200,
/412DC43A402FCF1885E533A2209E79CD,1000,
/49D086B948516EEFBE77E88EF64ECC0D,1000,
/57850E0B461E4C6A9A6B4E922054F526,1000,
/79E59F36486A81CD2BE488A05A9DC4EE,1000,
/D168977E45D9F49B6465BC8CE161025E,1000,
/38871EB24B32A53CE369F493F3B6A7AA,10000,
/9CDBAD0E4DDC190F85F4E1B089D56E1B,10000,
/3A44E3484466D036211ED7A6E96E3B85,11,
/392B47F14F107AB43D7C9BA84F625C69,110,
/12DBFA1B4B6A0E2051CB44B6A1CA2009,12,
/1C27CFC949EC454131A1BF9022EF0E3C,12,
